Object ID,Title,Object Name,Department,Culture,Period,Artist Display Name,Medium,Dimensions,Classification,Object Date,General_Text_Description,url
435620,The Lamentation and the Entombment,"Painting, predella panel",European Paintings,Unknown,Unknown,Bartolomeo di Tommaso,"Tempera on wood, gold ground",Overall 8 3/4 x 17 1/8 in. (22.2 x 43.5 cm); irregular painted surface 8 x 16 1/8 in. (20.3 x 41 cm),Paintings,ca. 1445–50,"The Lamentation and the Entombment is a Unknown Painting, predella panel by the Unknown artist Bartolomeo di Tommaso. This piece, part of the European Paintings collection, is crafted using Tempera on wood, gold ground. Measuring Overall 8 3/4 x 17 1/8 in. (22.2 x 43.5 cm); irregular painted surface 8 x 16 1/8 in. (20.3 x 41 cm), the work is classified as Paintings and was created in ca. 1445–50.",http://example_url_2731/
435621,Joan of Arc,Painting,European Paintings,Unknown,Unknown,Jules Bastien-Lepage,Oil on canvas,100 x 110 in. (254 x 279.4 cm),Paintings,1879,"Joan of Arc is a Unknown Painting by the Unknown artist Jules Bastien-Lepage. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 100 x 110 in. (254 x 279.4 cm), the work is classified as Paintings and was created in 1879.",http://example_url_2732/
435622,Diana and Cupid,Painting,European Paintings,Unknown,Unknown,Pompeo Batoni,Oil on canvas,49 x 68 in. (124.5 x 172.7 cm),Paintings,1761,"Diana and Cupid is a Unknown Painting by the Unknown artist Pompeo Batoni. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 49 x 68 in. (124.5 x 172.7 cm), the work is classified as Paintings and was created in 1761.",http://example_url_2733/
435623,Portrait of a Young Man,Painting,European Paintings,Unknown,Unknown,Pompeo Batoni,Oil on canvas,97 1/8 x 69 1/4 in. (246.7 x 175.9 cm),Paintings,ca. 1760–65,"Portrait of a Young Man is a Unknown Painting by the Unknown artist Pompeo Batoni. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 97 1/8 x 69 1/4 in. (246.7 x 175.9 cm), the work is classified as Paintings and was created in ca. 1760–65.",http://example_url_2734/
435626,Porte de la Reine at Aigues-Mortes,Painting,European Paintings,Unknown,Unknown,Jean-Frédéric Bazille,Oil on canvas,31 3/4 x 39 1/4 in. (80.6 x 99.7 cm),Paintings,1867,"Porte de la Reine at Aigues-Mortes is a Unknown Painting by the Unknown artist Jean-Frédéric Bazille. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 31 3/4 x 39 1/4 in. (80.6 x 99.7 cm), the work is classified as Paintings and was created in 1867.",http://example_url_2735/
435627,In the Sun,Painting,European Paintings,Unknown,Unknown,Charles-Edouard de Beaumont,Oil on canvas,23 1/2 x 37 3/4 in. (59.7 x 95.9 cm),Paintings,1875,"In the Sun is a Unknown Painting by the Unknown artist Charles-Edouard de Beaumont. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 23 1/2 x 37 3/4 in. (59.7 x 95.9 cm), the work is classified as Paintings and was created in 1875.",http://example_url_2736/
435630,Edward Miles (1752–1828),Painting,European Paintings,Unknown,Unknown,Sir William Beechey,Oil on canvas,11 7/8 x 9 7/8 in. (30.2 x 25.1 cm),Paintings,Unknown,"Edward Miles (1752–1828) is a Unknown Painting by the Unknown artist Sir William Beechey. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 11 7/8 x 9 7/8 in. (30.2 x 25.1 cm), the work is classified as Paintings .",http://example_url_2737/
435631,"George IV (1762–1830), When Prince of Wales",Painting,European Paintings,Unknown,Unknown,Sir William Beechey,Oil on canvas,56 1/4 x 44 1/2 in. (142.9 x 113 cm),Paintings,Unknown,"George IV (1762–1830), When Prince of Wales is a Unknown Painting by the Unknown artist Sir William Beechey. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 56 1/4 x 44 1/2 in. (142.9 x 113 cm), the work is classified as Paintings .",http://example_url_2738/
435632,Portrait of a Woman,Painting,European Paintings,Unknown,Unknown,Sir William Beechey,Oil on canvas,50 x 40 1/4 in. (127 x 102.2 cm),Paintings,ca. 1805,"Portrait of a Woman is a Unknown Painting by the Unknown artist Sir William Beechey. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 50 x 40 1/4 in. (127 x 102.2 cm), the work is classified as Paintings and was created in ca. 1805.",http://example_url_2739/
435633,"Skating at Sloten, near Amsterdam",Painting,European Paintings,Unknown,Unknown,Johannes Abrahamsz Beerstraten,Oil on canvas,36 1/4 x 51 5/8 in. (92.1 x 131.1 cm),Paintings,Unknown,"Skating at Sloten, near Amsterdam is a Unknown Painting by the Unknown artist Johannes Abrahamsz Beerstraten. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 36 1/4 x 51 5/8 in. (92.1 x 131.1 cm), the work is classified as Paintings .",http://example_url_2740/
